"","Experience","Frequency","Example"
"1","love",1090,"Great product. Absolute love it. Alexa is fun to converse with and has a wealth of information"
"2","happy",170,"Great product. Loving alexa! Was so happy with it that know its a big part of all that i do."
"3","enjoy",118,"We really are enjoying asking Alexa questions and she is connected to our Sonos system playing music around the house. She doesn't always understand me. Not sure if it is her or me."
"4","satisfied",85,"Very satisfied. Use it daily while watching TV and other activites"
"5","excited",14,"Was so excited to get this!!! It is so much fun to use."
